ಅಂಕದ ಪರದೆ ಏಳು	ಪ್ರಾರಂಭವಾಗು, ಆರಂಭವಾಗು
ಕಣ್ಣೀರಿನಲ್ಲಿ ಕೈ ತೊಳೆ	ಕಷ್ಟವನ್ನು ಅನುಭವಿಸು
ಕಣ್ಸವಿ	ಇಷ್ಟವಾದ ನೋಟ
ಕತ್ತೆ ಕಾಯಿ	ಸೋಮಾರಿತನ
ಕಲ್ಲುನೀರು ಕರಗುವ ಹೊತ್ತು	ಮಧ್ಯರಾತ್ರಿ
ಕಾಗೆ ಮುಳುಗು	ಸ್ನಾನದ ಶಾಸ್ತ್ರ ಮಾಡು
ಕಾಲ ಕಸ	ಬೆಲೆಯಿಲ್ಲದ
ಕಾಲಗುಣ	ಶಕುನ
ಕಾಲಲ್ಲಿ ಹಾವು ಬಿಡು	ಗೊಂದಲಪಡಿಸು
ಕಾಲಿಗೆ ಬುದ್ದಿ ಹೇಳು	ಓಡಿ ಹೋಗು
ಕಿರೀಟಪ್ರಾಯ	ಭೂಷಣವಾಗಿರು
ಕಿವಿ ಸೋಲು	ಕೇಳು, ನಂಬು
ಕಿವಿಯಳತೆ	ಕೇಳುವಷ್ಟು ದೂರ
ಕಿಷ್ಕಂದೆ	ಇಕ್ಕಟ್ಟಾದ ಜಾಗ
ಕುಂತೀ ಮಕ್ಕಳ ಸಂಸಾರ	ಕಷ್ಟದ ಜೀವನ
ಕುಲಗೇಡು	ನಾಶವಾಗು
ಕೃಷ್ಣಲೀಲೆ	ವ್ಯಭಿಚಾರ
ಕೆಂಡ ಕಾರು	ಬಹಳ ಕೋಪ ಮಾಡಿಕೋ
ಕೈ ಕಂಡ ಕೆಲಸ	ತನಗೆ ತಿಳಿದಿರುವ ಕೆಲಸ
ಕೈ ಕಚ್ಚು	ನಷ್ಟವಾಗು
ಕೈ ಕೈ ಮಿಲಾಯಿಸು	ಹೊಡೆದಾಟ ಆಗು
ಕೈ ಕೊಸರು	ಮನಸ್ತಾಪವಿರು
ಕೈ ತವಕ	ಕೈ ಚಪಲ
ಕೈ ತೊಳೆದು ಮುಟ್ಟು	ಸುಂದರವಾಗಿರು
ಕೈ ನೋಡು	ಶಕ್ತಿ ಪರೀಕ್ಷಿಸು
ಕೈ ಬಾಯಿ ಶುದ್ಧವಿರು	ಮಾತು ಚೆನ್ನಾಗಿರು
ಕೈ ಬೀಸಿ	ಕರೆ, ಆಕರ್ಷಕವಾಗಿರು
ಕೈ ಮುರಿದಂತಾಗು	ಅಸಹಾಯಕ ಪರಿಸ್ಥಿತಿ
ಕೈ ಹರಿತ ಆಗು	ಅನುಭವಿಯಾಗು
ಕೈಕಾಲು ಹಿಡಿ	ಅಂಗಲಾಚು
ಗಂಟಲಲಿ ಕಡುಬು ತುರುಕು	ಬಲಾತ್ಕಾರವಾಗಿ ಒಪ್ಪಿಸು
ಗಂಟು ಮಾಡು	ಸಂಪಾದಿಸು
ಗಗನ ಕುಸುಮ	ಕೈಗೆಟುಕದೆ ಇರುವುದು, ಅಸಾಧ್ಯವಾದುದು
ಗಣಪತಿ ಮದುವೆ	ಆಗದಿರುವ ಮದುವೆ
ಗತಿ ಕಾಣಿಸು	ಮುಗಿಸಿಬಿಡು
ಗಾಳಿಗೆ ಗರಿ ಮೂಡು	ಶೀಘ್ರತೆ ಹೆಚ್ಚಾಗು
ಗಾಳಿಗೆ ತೂರಿಬಿಡು	ನಿರ್ಲಕ್ಷಿಸು
ಗಾಳಿಮಾತು	ಸುಳ್ಳು ಸುದ್ದಿ
ಗೂಸಾ ಹಾಕು	ಥಳಿಸು
ಗೆದ್ದೆತ್ತಿನಬಾಲ ಹಿಡಿ	ಸಮಯ ಸಾಧಕತನ
ಗ್ರಹಣ ಹಿಡಿದಂತಾಗು	ದಿಕ್ಕೆಡು
ಘಂಟಾಘೋಷ	ನಿರ್ಧಾರವಾಗಿ ಹೇಳು
ಚಟ್ಟಿ ಮಾಡು	ಚೆನ್ನಾಗಿ ಹೊಡೆ
ಚಪ್ಪಡಿ ಎಳೆ	ಹಾಳು ಮಾಡು
ಚಳ್ಳೆ ಹಣ್ಣು ತಿನ್ನಿಸು	ವಂಚಿಸು
ಚಾತಕಪಕ್ಷಿಯಂತೆ ಕಾಯು	ದೀರ್ಘಕಾಲ ನಿರೀಕ್ಷಿಸು
ಚೇಳಿನ ವಿಷದಂತೆ	ಶೀಘ್ರವಾಗಿ ಏರು
ಛೀ ಅನ್ನಿಸಿಕೊ	ಅವಮಾನಕ್ಕೆ ಗುರಿಯಾಗು
ಛೂ ಬಿಡು	ಮೇಲೆ ಬೀಳಲು ಹುರಿದುಂಬಿಸು
ಜಾಲ ಬೀಸು	ವಂಚಿಸಲು ಯತ್ನಿಸು
ಜೀವ ತುಂಬು	ಶಕ್ತಿ ಕೊಡು
ಠೇವಣಿ ಕಳೆದುಕೊ	ನಾಶವಾಗು
ತಣ್ಣೀರೆರಚು	ಉತ್ಸಾಹವನ್ನು ಕುಗ್ಗಿಸು, ಉತ್ಸಾಹಕ್ಕೆ ಕುಂದು ಬರಿಸು
ತಲೆ ಎತ್ತದಂತೆ ಮಾಡು	ಸದೆಬಡಿ
ತಲೆ ಓಡದಿರು	ಏನೂ ತೋಚದಿರು
ತಲೆ ನೆಲದತ್ತ ವಾಲು	ಸಂಕೋಚದಿಂದಿರು
ತಲೆ ಮೇಲೆ ಗೂಬೆ ಕೂರಿಸು	ಅಪವಾದ ಹೊರಿಸು
ತಲೆ ಹಾಕು	ಮಧ್ಯೆ ಪ್ರವೇಶಿಸು
ತಾಟಕಿ	ಕೆಟ್ಟ ಹೆಂಗಸು
ತುಂಬು ಹೃದಯ	ಒಳ್ಳೆಯ ಮನಸ್ಸಿನವ
ತುದಿಗಾಲ ಮೇಲೆ ನಿಂತಿರು	ಬಹಳ ಕಾತುರದಿಂದಿರು
ದಾರಿದೀಪ	ಮಾರ್ಗದರ್ಶಿ
ದಿಕ್ಕು ತೋಚದಿರು	ದಾರಿ ಕಾಣದಂತಾಗು
ನಡುನೀರಲ್ಲಿ ಕೈಬಿಡು	ನಂಬಿಸಿ ವಿಶ್ವಾಸಘಾತ ಮಾಡು
ನರಿಯ ಕಕ್ಕೆಕಾಯಿ ವ್ರತ	ಪಾಲಿಸಲಾಗದ ಪ್ರತಿಜ್ಞೆ
ನರಿಯ ಬುದ್ದಿ	ಮೋಸಗಾರಿಕೆ
ನಾಯಿ ಬುದ್ಧಿ	ನೀಚತನ
ನಾಯಿ ಮುಟ್ಟಿದ ಮಡಕೆ	ಅಪವಿತ್ರವಾದದ್ದು
ನಾಯಿ ಮೊಲೆ ಹಾಲು	ನಿಷ್ಟ್ರಯೋಜಕವಾದುದು
ನಾಯಿಪಾಡು	ತುಂಬಾ ಹೀನ ಪರಿಸ್ಥಿತಿ
ನಾಲಗೆ ಉದ್ದಮಾಡು	ಮಿತಿ ಮೀರಿ ಮಾತಾಡು
ನೀರ ಮೇಲಿನ ಗುಳ್ಳೆ	ಶಾಶ್ವತವಲ್ಲದ್ದು, ಕ್ಷಣಿಕ
ನೀರಿನಲ್ಲಿ ಮಾಡಿದ ಹೋಮ-	ವ್ಯರ್ಥ ಕಾರ್ಯ
ನೀರು ಕುಡಿದ ಹಾಗೆ	ಸುಲಭವಾಗಿ
ನುಂಗಿ ನೀರು ಕುಡಿ	ಹಾಳು ಮಾಡು
ನೆತ್ತಿಯ ಪಿತ್ತ ಇಳಿಸು	ಅಹಂಕಾರ ಇಳಿಸು
ನೆಲ ಕಚ್ಚು	ಸೋಲು, ಹತಾಶೆ
ನೆಲಸಮವಾಗು	ಧ್ವಂಸವಾಗು
ಪುಸ್ತಕದ ಬದನೆಕಾಯಿ	ಅನುಭವಕ್ಕೆ ಬಾರದ್ದು
ಪೂಜೆ ಮಾಡು	ತಕ್ಕ ಶಾಸ್ತಿ ಮಾಡು
ಬಗ್ಗುಬಡಿ	ಬಾಯಿ ಮುಚ್ಚಿಸು
ಬಣ್ಣ ಬಯಲು	ಮೋಸ ಹೊರಬೀಳು
ಬಲಿ ಬೀಳು	ತುತ್ತಾಗು
ಬಲಿ ಹಾಕು	ಶಿಕ್ಷಿಸು
ಬಸವನ ಹಿಂದೆ ಬಾಲ	ಎಡೆಬಿಡದ ಸಂಗಾತಿ
ಬಾಯಿ ಬಂಧನ	ಉಪವಾಸ
ಬಾಯಿಬೆಲ್ಲ	ಮರುಳಾಗುವ ಮಾತು
ಬಿಳಿ ಕುದುರೆ ಚಾಕರಿ	ಅತೀವ ಶಿಸ್ತು
ಬಿಳೀ ಮಜ್ಜಿಗೆ	ಹೆಂಡ
ಬೆನ್ನ ಮೇಲೆ ಕೂರು	ಹಿಂಸಿಸು
ಬೆನ್ನ ಹತ್ತು	ಹಿಂಬಾಲಿಸು
ಬೆನ್ನಿನ ಹೊಗೆಯೆಬ್ಬಿಸು	ಚೆನ್ನಾಗಿ ಹೊಡೆ
ಬೆನ್ನುಕಾಯಿ	ಕಾಪಾಡು
ಬೆರಳು ತೋರಿಸಿದರೆ ಹಸ್ತ ನುಂಗು	ಬಹಳ ಚುರುಕಾಗಿರು
ಬೆಳ್ಳಿನಾಲಿಗೆ	ಅನುನಯದ ಮಾತು
ಬೇಳೆಬೇಯು	ಯುಕ್ತಿ ಸಫಲವಾಗು
ಬ್ರಹ್ಮಲಿಪಿ	ಯಾರಿಗೂ ತಿಳಿಯದ ಲಿಪಿ
ಭಾರ ಹಾಕು	ಹೊಣೆಯನ್ನು ಹೊರು
ಭೂಮಿ ತೂಕದವ	ಭೂಮಿಯಂತೆ ಬಹು ಶಾಂತ ಸ್ವಭಾವದವ
ಮಂಗಳಾರತಿ ಎತ್ತು	ಅವಮಾನಪಡಿಸು
ಮಗ್ಗ ನೇಯು	ಚಾಡಿ ಹೇಳು
ಮಣ್ಣುಪಾಲಾಗು	ನಾಶ ಹೊಂದು
ಮಣ್ಣುಪಾಲು ಮಾಡು	ನಾಶ ಮಾಡು
ಮನಸ್ಸನ್ನು ಕಲ್ಲು ಮಾಡಿಕೋ	ಧೈರ್ಯ ತಾಳು
ಮನೆ ತೊಳೆ	ಹಾಳು ಮಾಡು
ಮನೆ ಮುರಿ	ನಾಶ ಮಾಡು
ಮನೆ ಮುಳುಗಿಸಿ	ನಾಶ ಮಾಡು
ಮನೆ ಹೊಕ್ಕ ಮಾರಿ	ಅಪಾಯಕಾರಿ
ಮರ್ಜಿ ಹಿಡಿ	ಅನುಗ್ರಹವನ್ನು ಸಂಪಾದಿಸು
ಮಸ್ಕಾ ಹೊಡೆ	ಪುಸಲಾಯಿಸು
ಮಾತು ಕೊಡು	ವಚನ ಕೊಡು
ಮಾತೆತ್ತು	ಮಾತು ಆರಂಭಿಸು
ಮಾನ ಕಾಯು	ಗೌರವ ಉಳಿಸು
ಮುಂಗೈ ತಿಕ್ಕು	ವಿನಯ ತೋರಿಸು
ಮುಖ ಕಿವುಚು	ಅಸಹ್ಯ ಪಡು
ಮುಖ ಕೆಳಗೆ ಹಾಕುವಾ	ತಲೆ ತಗ್ಗಿಸು
ಮುಖ ಗಂಟು ಹಾಕಿಕೋ	ಸಿಡುಕು
ಮುಖ ದಾಕ್ಷಿಣ್ಯ	ಮುಖ ತೋರಿಸಿದಾಗ ಮಾತ್ರ ತೋರಿಸುವ ದಾಕ್ಷಿಣ್ಯ
ಮುಖಕ್ಕೆ ಮಸಿ ಹಚ್ಚು	ಅವಮಾನಿಸು
ಮುಖಗಂಟಿಕ್ಕು	ಮುಖ ಸಿಂಡರಿಸು
ಮುಖವೀಣೆ	ಮುಖಸ್ತುತಿ ಮಾಡುವವರು
ಮುಟ್ಟಿದೆಲ್ಲ ಹೊನ್ನು	ಒಳ್ಳೆಯದಾಗು
ಸೇಡಿಗೆ ಪ್ರತಿಸೇಡು	ಮುಖ್ಯಿಗೆ ಮುಯ್ಯಿ
ಮೂರು ಕಾಸಿನವ	ಮರ್ಯಾದೆಗೆಟ್ಟವನು
ಮೆಟ್ಟಿ ನಿಲ್ಲು	ನಿಯಂತ್ರಿಸು
ಮೈ ಪಾದರಸವಾಗು	ಚಂಚಲವಾಗು
ಮೈ ಮುಖಕ್ಕೆ ಕೆಸರು ಎರಚಿಕೊ	ಅಸಹ್ಯ ಕೆಲಸ ಮಾಡಿಕೊ
ಮೊಟ್ಟೆ ಕೋಳಿ	ಸೋಮಾರಿ
ಮೊದ್ದುಮಣಿ	ಪೆದ್ದ
ಮೋಡ ಕವಿ	ಮಂಕಾಗು
ಯಮಬಾಧೆ	ತೀವ್ರವಾದ ಹಿಂಸೆ
ರಕ್ತಹೀರು	ಶೋಷಣೆ ಮಾಡು
ರಾಮವಾಕ್ಯ	ತಪ್ಪದ ಮಾತು
ರೆಕ್ಕೆ ಮೂಡು	ಉತ್ಸಾಹ ಹೆಚ್ಚಾಗು
ರೊಟ್ಟಿ ಜಾರಿ ತುಪ್ಪಕ್ಕೆ ಬೀಳು	ಇಷ್ಟಾರ್ಥ ನೆರವೇರು
ವಕ್ರದೃಷ್ಟಿ	ಕೆಟ್ಟ ನೋಟ
ವಾಮನಮೂರ್ತಿ	ಕುಳ್ಳಗಿನ ವ್ಯಕ್ತಿ
ವಿಕೋಪಕ್ಕೆ ಹೋಗು	ಕೈ ಮೀರು
ವಿಷ ಕಕ್ಕು	ಅಸೂಯೆಪಡು
ವೀಳ್ಯ ಕೊಡು	ಆಜ್ಞೆ ಮಾಡು
ಶುದ್ಧ ಮೊದ್ದು	ಮೂರ್ಖ
ಸುಗ್ರೀವಾಜ್ಞೆ	ಕಟ್ಟಪ್ಪಣೆ
ಸೊಪ್ಪು ಹಾಕು	ಲಕ್ಷ್ಯ ನೀಡು
ಹನುಮಂತನ ಬಾಲ	ಮುಗಿಯದ ಕತೆ
ಹಬ್ಬ ಮಾಡು	ಶಿಕ್ಷೆ ನೀಡು
ಹರಟೆ ಕೊಚ್ಚು	ವ್ಯರ್ಥವಾಗಿ ಮಾತನಾಡು
ಹರಿತ ನಾಲಗೆ	ಕಠೋರವಾಗಿ ಮಾತನಾಡುವವ
ಹಲ್ಲುಕಿರಿ	ದೈನ್ಯದಿಂದ ಬೇಡು
ಹಲ್ಲುಮಸೆ	ದ್ವೇಷ ಸಾಧಿಸು
ಹಲ್ಲುಮುರಿ	ಗರ್ವ ಅಡಗಿಸು
ಹಿಗ್ಗಿ ಹಿರೇಕಾಯಿಯಾಗು	ಬಹಳ ಸಂತೋಷಗೊಳ್ಳು
ಹುಬ್ಬುಗಂಟಿಕ್ಕು	ಕೋಪಗೊಳ್ಳು
ಹೃದಯ ವಿದ್ರಾವಕ	ಭಯಂಕರ
ಹೃದಯಹೀನ	ಕಟುಕ
ಹೆತ್ತೊಡಲು	ತಾಯಿಯ ಕರುಳು
ಹೇಳಿದ ಹಾಗೆ ಕುಣಿ.	ವಶವರ್ತಿಯಾಗು
ಹೊಟ್ಟೆ ಕಟ್ಟು	ಮಿತವ್ಯಯ ಮಾಡು
ಹೊಟ್ಟೆಯು ಹುಣ್ಣಾಗುವಷ್ಟು	ಅತಿಶಯ ನಗು
ಹೊತ್ತು ಮುಳುಗು.	ಸಂಜೆಯಾಗು
ಅಜರಾಮರ	ಶಾಶ್ವತ
ಅಜ್ಜಿಕತೆ	ಹಳೆಯ ಕಟ್ಟುಕತೆ
ಅಡ್ಡ ಬೀಳು	ನಮಸ್ಕರಿಸು
ಅಡಿಮೇಲಾಗು	ಹಾಳಾಗು
ಅನ್ನದ ದಾರಿ	ಬದುಕುವ ಮಾರ್ಗ
ಅಮಾವಾಸ್ಯೆಗೊಮ್ಮೆ ಹುಣ್ಣಿಮೆಗೊಮ್ಮೆ	ಅಪರೂಪಕ್ಕೆ ಒಂದು ಸಲ
ಅರ್ಧಚಂದ್ರ ಪ್ರಯೋಗ	ಕುತ್ತಿಗೆ ಹಿಡಿದು ನೂಕು
ಅರೆದು ಕುಡಿ	ಚೆನ್ನಾಗಿ ಅಭ್ಯಾಸ ಮಾಡು
ಅರೆಮನಸ್ಸು	ಪೂರ್ಣ ಒಪ್ಪದಿರು
ಆಟ ನಡೆಯದಿರು	ಪ್ರಭಾವ ಉಂಟಾಗದಿರು
ಆರಡಿ ದೇಹ ಮೂರಡಿ ಮಾಡು	ಕುಗ್ಗು
ಇದಿರು ನೋಡು	ನಿರೀಕ್ಷಿಸು
ಇದಿರು ವಾದಿಸು	ಪ್ರತಿವಾದ ಮಾಡು
ಇಮ್ಮನಸ್ಸು	ಇಬ್ಬಂದಿತನ
ಉಪ್ಪು ಕಾರ ಹಚ್ಚು	ಸ್ವಲ್ಪ ಸೇರಿಸಿ ವರ್ಣಿಸಿ ಹೇಳು
ಉಭಯಸಂಕಟ	ಎರಡರಲ್ಲಿ ಏನನ್ನು ಆರಿಸಿಕೊಳ್ಳಬೇಕೆಂಬ ಚಿಂತೆ
ಉರಿದು ಬೀಳು	ಕೋಪದಿಂದ ರೇಗು
ಉರುಳಾಗು	ಕಷ್ಟಕ್ಕೆ ಸಿಲುಕಿಸು
ಎತ್ತಂಗಡಿಯಾಗು	ವರ್ಗವಾಗು
ಎತ್ತಿ ಹಾಕು	ಲಪಟಾಯಿಸು
ಎತ್ತಿ ಹಿಡಿ	ಅನುಮೋದಿಸು
ಎದೆಯ ಮೇಲಿನ ಭಾರ ಇಳಿ	ಜವಾಬ್ದಾರಿ ಕಡಿಮೆಯಾಗು
ಎದೆಯೊಡೆ	ಬಹುದುಃಖವಾಗು
ಎರಡು ನಾಲಗೆ	ಸಮಯಕ್ಕೆ ತಕ್ಕಂತೆ ಮಾತು ಬದಲಿಸುವ ಸ್ವಭಾವ
ಒಮ್ಮನಸ್ಸು	ಒಂದೇ ಅಭಿಪ್ರಾಯ
ಕಂಕಣಬದ್ಧನಾಗು	ಸಂಕಲ್ಪ ಮಾಡು
ಕಂಠ ಶೋಷಣೆ	ವ್ಯರ್ಥವಾದ ಮಾತು
ಕಡ್ಡಿ ಮುರಿದಂತೆ ಹೇಳು	ಖಂಡಿತವಾಗಿ ಹೇಳು
ಕಣ್ಣಲ್ಲಿ ಕಣ್ಣಿಟ್ಟು ನೋಡಿಕೊಳ್ಳು	ಜೋಪಾನವಾಗಿ ರಕ್ಷಿಸು
ಕಣ್ಣಿಗೆ ಕಟ್ಟು	ಸ್ಪಷ್ಟವಾಗಿ ನೆನಪಿರು
ಕಣ್ಣೀರಿನಲ್ಲಿ ಕೈತೊಳೆ	ಕಷ್ಟಕ್ಕೆ ಗುರಿಯಾಗು
ಕಣ್ಣು ಕೆಂಪಾಗು	ಕೋಪಗೊಳ್ಳು
ಕಣ್ಣು ತಾಗು	(ದೃಷ್ಟಿಯಾಗು
ಕಣ್ಣು ತೆರೆಸು	ಜ್ಞಾನೋದಯ ಉಂಟುಮಾಡು
ಕಣ್ಣುಮುಚ್ಚು	ಮರಣ ಹೊಂದು
ಕಗ್ಗೋಡಿಸು	ಮೇಲುನೋಟಕ್ಕೆ ಪರೀಕ್ಷಿಸು
ಕನಸು ನನಸಾಗು	ಆಶೆ ನೆರವೇರು
ಕಪಾಲಮೋಕ್ಷ ಮಾಡು	ಕೆನ್ನೆಗೆ ಹೊಡೆ
ಕರ ಜೋಡಿಸು	ಕೈಮುಗಿ
ಕರುಳು ಕಿತ್ತು ಬರು	ಬಹಳ ದುಃಖವಾಗು
ಇನ್ನು ಅಲ್ಲಿ ನಿಲ್ಲುವುದು ಸರಿಯಲ್ಲ ಕಾಲು ಕೀಳು	ಹೊರಡು
ಕಾಲು ಕೆರೆ	ಜಗಳಕ್ಕೆ ಮುಂದಾಗು
ಕಾಲು ಚಾಚಿ ಕುಳಿತುಕೊಳ್ಳು	ದುಡಿಯದೆ ಆರಾಮವಾಗಿರು
ಕಿಡಿಕಾರು	ಸಿಟ್ಟಿಗೇಳು
ಕಿವಿಗೊಡು	ಗಮನವಿಟ್ಟು ಕೇಳು
ಕಿವಿ ಹಿಂಡು	ಬುದ್ದಿ ಹೇಳು
ಕಿವಿ ದೂರ	ಸರಿಯಾಗಿ ಕೇಳದಿರು
ಕುಂಟುನೆಪ	ಸಕಾರಣವಲ್ಲದುದು
ಕುಗ್ಗಿ ಹೋಗು	ಕೃಶವಾಗು, ದುಃಖಿತನಾಗು
ಕುತ್ತಿಗೆಗೆ ಕಟ್ಟು	ಬಲವಂತವಾಗಿ ಹೊಣೆ ವಹಿಸು
ಕುತ್ತಿಗೆಯ ಮೇಲೆ ಕುಳಿತುಕೊಳ್ಳು	ಬಲವಂತ ಮಾಡು
ಕೂದಲು ಕೊಂಕದಿರು	ಏನೂ ತೊಂದರೆಯಾಗದಿರು
ಕೂದಲು ನೆಟ್ಟಗೆ ನಿಲ್ಲು	ರೋಮಾಂಚವಾಗ
ಕೈಕಟ್ಟು	ತಡೆ, ಹಿಂದೆ.ನಿಲ್ಲು
ಕೈ ಕಟ್ಟಿ ಕುಳಿತುಕೊಳ್ಳು	ನಿಸ್ಸಹಾಯಕನಾಗು
ಕೈ ಕೈ ಹಿಸುಕಿಕೊಳ್ಳು	ಪೇಚಾಡು
ಕೈಚಾಚು	ನೆರವು ಕೇಳು
ಕೈಚೆಲ್ಲು	ನಿರಾಶನಾಗು
ಕೈ ಜಾರು	ಅಧೀನದಿಂದ ಬಿಟ್ಟು ಹೋಗು
ಕೈ ಬರಿದಾಗು	ಏನೂ ಇಲ್ಲದಿರು
ಕೈ ಬಿಸಿ ಮಾಡು	ಲಂಚ ಕೊಡು
ಕೈ ಮಾಡು	ಹೊಡೆ
ಕೈ ಮೇಲಾಗು	ಗೆಲ್ಲು
ಕೈ ಸುಟ್ಟುಕೊಳ್ಳು	ವ್ಯವಹಾರದಲ್ಲಿ ನಷ್ಟವಾಗು
ಕೊರಳಿಗೆ ಕಟ್ಟು	ಒತ್ತಾಯದಿಂದ ವಹಿಸು
ಕೊಡಲಿ ಪೆಟ್ಟು	ಮೂಲಕ್ಕೆ ಆಘಾತವಾಗು
ಕೋಡು ಮೂಡು	ಗರ್ವಿಸು
ಗಂಟಲು ಹರಿದುಕೋ	ಗಟ್ಟಿಯಾಗಿ ಮಾತನಾಡು
ಗಂಟು ಮೂಟೆ ಕಟ್ಟು	ಊರು ಬಿಟ್ಟು ಹೊರಡು
ಗಜಗಮನ	ನಿಧಾನದ ನಡೆ
ಗಾಯದ ಮೇಲೆ ಬರೆ ಎಳೆ	ಮತ್ತೆ ಮತ್ತೆ ಕಷ್ಟ ಬರುವುದು
ಗಾಳಿ ಹಾಕು	ಪ್ರಚೋದಿಸು
ಗಾಳಿಯಲ್ಲಿ ಗೋಪುರ ಕಟ್ಟು	ಕಲ್ಪನೆ ಮಾಡು
ಗೋತಾ ಹೊಡಿ	ವಿಫಲವಾಗ
ಚುಚ್ಚಿ ಕೊಡು	ಚಾಡಿ ಹೇಳು
ಜುಟ್ಟು ಕೈಗೆ ಕೊಡು	ವಶನಾಗು
ಜೇಬು ತೂತಾಗು	ಹಣವಿಲ್ಲದಿರು
ಟೊಂಕಕಟ್ಟಿ ನಿಲ್ಲು	ಸಿದ್ಧನಾಗಿರು
ಡುಮ್ಮಿ ಹೊಡೆ	ಪರೀಕ್ಷೆಯಲ್ಲಿ ಅನುತ್ತೀರ್ಣನಾಗು
ತಂಪು ಹೊತ್ತಿನಲ್ಲಿ ನೆನೆ	ಕೃತಜ್ಞತೆಯಿಂದ ಸ್ಮರಿಸು
ತಕ್ಕಡಿ ತೂಗು	ಸಮವಾಗಿರು
ತಲೆ ಎತ್ತಿ ತಿರುಗು	ಮರ್ಯ್ಯಾದೆಯಿಂದ ಬದುಕು
ತಲೆಕಾಯು	ರಕ್ಷಿಸು
ತಲೆಗೆ ತಾಗು	ಕಷ್ಟದ ಅರಿವಾಗು
ತಲೆದೋರು	ಕಾಣಿಸಿಕೊಳ್ಳು
ತಲೆಬಾಗು	ವಂದಿಸು, ಗೌರವಿಸು
ತಲೆ ಮೇಲೆ ಕೈ ಹೊರು	ಕಂಗಾಲಾಗು
ತಲೆಯ ಮೇಲೆ ಹಾಕು	ಹೊಣೆ ಹೊರೆಸು
ತಲೆಯೆತ್ತು	ಉಂಟಾಗು
ತಾಳ ಮೇಳ	ಹೊಂದಾಣಿಕೆ
ತಾಳಕ್ಕೆ ಹೆಜ್ಜೆ ಹಾಕು	ಹೇಳಿದಂತೆ ಕೇಳು
ತಿಲಾಂಜಲಿ ಕೊಡು	ಆಶೆ ಬಿಡು
ತುಟಿ ಪಿಟಕ್ಕೆನ್ನು	ಏನಾದರೂ ಮಾತನಾಡು
ತೂಕದ ಮನುಷ್ಯ	ಗೌರವಾನ್ವಿತ ವ್ಯಕ್ತಿ
ತೃಣಕ್ಕೆ ಸಮಾನ	ಅಲ್ಪ ವಸ್ತು
ತೆರೆ ಬೀಳು	ಮುಗಿ
ದಡ ಕಾಣಿಸು	ಪಾರು ಮಾಡಿಸು
ದಂಡಯಾತ್ರೆ ಮಾಡು	ಮತ್ತೆ ಮತ್ತೆ ಫೇಲಾಗು
ದಮ್ಮು ಕಟ್ಟು	ಉಸಿರು ಬಿಗಿಹಿಡಿ
ದಯಮಾಡಿಸು	ಆಗಮಿಸು / ಹೊರಡು
ದಾರಿಯಿಲ್ಲದಿರು	ನಿರುಪಾಯವಾಗಿ
ದಾರಿ ಹಿಡಿ	ಹೊರಡು
ದಾರಿದೀಪವಾಗು	ಮಾರ್ಗದರ್ಶಕನಾಗು
ದಿಕ್ಕಿಲ್ಲದಿರು	ನಿರ್ಗತಿಕನಾಗಿರು
ದಿಕ್ಕಾಪಾಲಾಗು	ಚೆದುರಿಹೋಗು
ದಿನ ದೂಡು	ಕಾಲ ಕಳೆ
ದೂರದೃಷ್ಟಿ	ಮುಂದಾಲೋಚನೆ
ದೇಶಾಂತರ ಹೋಗು	ಗತಿಯಿಲ್ಲದೆ ಅಲೆದಾಡು
ದೈವಾಧೀನನಾಗು	ಸಾಯು
ಧಾರೆಯೆರೆ	ಮದುವೆ ಮಾಡು
ಧೂಳೀಪಟವಾಗು	ನಾಶವಾಗು
ನಡು ನೀರಿನಲ್ಲಿ ಕೈಬಿಡು	ಅರ್ಧದಲ್ಲಿ ತ್ಯಜಿಸು
ನಾಂದಿಹಾಡು	ಪ್ರಾರಂಭಿಸು
ನಾಚಿ ನೀರಾಗು	ಅತಿಯಾಗಿ ನಾಚಿಕೊಳ್ಳು
ನಾಲಿಗೆ ಉದ್ದವಾಗು	ಹದ್ದುಮೀರಿ ಮಾತನಾಡು
ನಿರಂಕುಶ	ಹತೋಟಿಯಿಲ್ಲದ
ನಿರಕ್ಷರಕುಕ್ಷಿ	ಅನಕ್ಷರಸ್ಥ
ನಿರ್ನಾಮವಾಗು	ನಾಶಹೊಂದು
ನೀರಿಗೆ ಹಾಕು	ವ್ಯರ್ಥ ಮಾಡು
ನೀರಿನಲ್ಲಿ ಹೋಮ ಮಾಡು	ವ್ಯರ್ಥ ಪ್ರಯತ್ನ
ನೀರಿನ ಮೇಲಣ ಗುಳ್ಳೆ	ಕ್ಷಣಿಕ
ನೀರೆರೆ	ಪ್ರೋತ್ಸಾಹಿಸು
ನುಣ್ಣಗೆ ಮಾಡು	ಎಲ್ಲವನ್ನೂ ಹಾಳುಮಾಡು
ನೆಟ್ಟಗೆ	ಬೇರೆಕಡೆ ಗಮನಹರಿಸದೆ
ನೆಟ್ಟಗೆ ಮಾಡು	ಸರಿಪಡಿಸು
ನೆಲದ ಮೇಲೆ ನಿಲ್ಲದಿರು	ಜಂಬ ತೋರು
ನೊಗ ಇಳಿಸು	ಹೊಣೆಗಾರಿಕೆಯಿಂದ ಬಿಡುಗಡೆ ಹೊಂದು
ಪಟ್ಟುಹಿಡಿ	ಹಟ ಸಾಧಿಸು
